%ename 
%prompt ?
%selkey 1234567890
%dupsel 10
%keyname begin
addt 匪帮
addy 巨大成就
ade 戎
adef 葫
adeq 藏胞
adet 巨大胜利
adf 苦
adfb 基地
adfd 项城
adff 蓐
adfg 若干
adfi 萘
adfj 期刊
adfp 敬而远之
adfy 基础教育
adg 葳
adga 荣辱与共
adgc 甚至
adgf 基于
adgg 其一
adgk 惹事
adgq 英雄形象
adgt 葳
adgy 基础理论
adh 荐
adha 欺瞒
adhb 荐
adhd 葜
adhf 茬
adhh 项目
adhi 基督
adhk 基点
adhw 期盼
adi 藉
adia 期满
adii 苦水
adij 藉
adim 勘测
adip 苦学
adiv 苦涩
adiy 藕
adj 菲
adjd 匪
adjg 若是
adjk 巨大影响
adjs 苦果
adk 若
adkf 若
adkh 其中
adkn 惹
adl 苈
adlb 苈
adld 基因
adlj 巨大力量
adm 项
admt 蒇
admy 项
adn 茂
adna 藏民
adnf 基层
adnn 藏书
adnt 藏
adny 苦恼
adog 基业
adou 世态炎凉
adov 基数
adpn 茂密
adpu 其实
adpw 勘察
adpx 其它
adpy 惹祸
adqc 藕色
adqk 茂名
adqm 欺负
adqn 蒙古包
adqq 基金
adqy 功成名就
adrg 其后
adrl 若有所思
adrp 勘探
adrr 若有所失
adru 莽撞
adsa 英雄模范
adsf 东奔西走
adsg 基本
adsg 斟酌
adsj 勘查
adsk 东奔西跑
adtf 期待
adtf 匪徒
adth 苦处
adti 基础科学
adtm 藏身
adtt 苦笑
adty 基础知识
adu 蕨
adud 苦头
aduf 欺凌
aduj 期间
adun 苦闷
aduq 其次
aduw 基准
advf 基建
advy 基础建设
adw 其
adwa 戡
adwb 其他
adwe 期
adwf 斟
adwi 綦
adwl 勘
adwn 甚
adwo 工矿企业
adwr 斯
adwt 蓁
adwt 欺侮
adwt 其余
adwu 其
adww 欺
adwx 期货
adx 茏
adxa 苦练
adxb 茏
adxg 基线
adxw 苦维
adya 基诺
adyf 苦读
adyg 藏语
adyj 基础课
adyk 苦衷
adyk 勘误
adyl 甚为
adym 基调
adyn 期望
adyt 欺诈
adyt 藏族
adyt 蒙古族
adyw 巨大变化
adyx 基础训练
adyy 斯文
ae 菜
aeai 散落
aean 菜蔬
aeb 艿
aebc 菔
aebf 莩
aede 莫须有
aedm 散布
aee 藐
aeej 蒯
aeeq 藐
aefb 菜地
aefn 散场
aeft 获胜者
aeg 苴
aega 散开
aegf 苴
aehi 散步
aeij 散漫
aelf 菜园
aend 散居
aent 散发
aepe 菜农
aepy 藐视
aeqd 菜肴
aert 散播
aerw 散失
aes 菜
aesu 菜
aet 散
aetd 散乱
aetg 蕤
aetm 散射
aety 散
aeu 藤
aeuf 散装
aeui 藤
aeuj 菜单
aev 荽
aevf 荽
aewf 散会
aeww 菜价
aey 芨
aeym 菜市
aeyn 散记
aeyu 芨
aeyy 散文
af 革
afa 鞯
afab 劳动节
afad 甘苦
afae 鞴
afag 若无其事
afap 芙蓉
afaq 东城区
afat 蔷薇
afau 劳动工资
afay 甘蔗
afb 邯
afbb 鞋子
afbh 邯
afbp 敬老院
afbt 甘孜
afbw 革除
afc 靶
afcl 劳动能力
afcn 靶
afcs 鞣
afcu 芸
afcu 芰
afd 甘
afdg 匹夫有责
afdj 薷
afdp 鞑
afdr 甘愿
afdy 劳动态度
afen 劳动服务公司
aff 芏
affb 某地
afff 鞋
afff 鞲
afff 葑
affg 七十二
affm 甘南
affp 勒索
afft 劳动者
affu 劳动教养
afgd 落井下石
afgf 甘于
afgo 东南亚
afgp 劳动致富
afgt 功亏一篑
afgw 功夫不负有心人
afhx 某些
afi 蒜
afia 黄埔江
afid 芜湖
afie 鞘
afif 劳动法
afii 蒜
afip 劳动党
afiv 甘当
afj 革
afjc 勒紧
afjg 靼
afjj 劳动日
afju 劳动时间
afkf 薹
afl 勒
aflf 蕾
aflh 七十四
aflj 贡献力量
afln 勒
aflt 劳动力
afm 贰
afmd 鞅
afmi 贰
afmm 鞍山
afn 苇
afnh 苇
afnn 劳动局
afnt 区域性
afny 甘心
afoq 鞭炮
afp 鞍
afpb 荸
afpg 劳动密集型
afpl 某军
afpp 劳动定额
afpv 鞍
afq 鞠
afqb 芜
afqb 芫
afqk 著名
afqm 鞍钢
afqo 鞠
afqq 鞔
afqw 莰
afqy 鞫
afr 靳
afrd 鞭挞
afrh 靳
afrs 劳动报酬
afrt 劳动所得
afrw 七十年代
afs 某
afsa 劳动模范
afsu 东南西北
afsy 著述
aft 著
aftc 鞭笞
aftd 甘甜
aftg 鞭策
aftj 鞒
aftj 蓍
aftk 某种
aftl 劳动生产力
aftm 鞠躬
aftq 著称
aftu 劳动和社会保障部
aftw 劳动条件
afty 劳动生产率
afu 蔷
afuj 邯郸
afuk 蔷
afup 劳动竞赛
afus 革新
afuu 劳动部门
afuy 劳动效率
afvi 甘肃
afvw 劳动群众
afw 芙
afwa 七零八落
afwb 劳动保险
afwg 革命
afwh 某个
afwk 劳动保护用品
afwn 劳动人民
afwo 荒无人烟
afwq 鞭
afwr 劳动保护
afws 甘休
afwt 菱
afwt 著作
afwu 芙
afww 某人
afwx 靴
afwy 藿
afxi 区域经济
afxt 劳动纪律
afxw 劳动组合
afxy 劳动强度
afyd 黄土高原
afyo 劳动就业
afyu 或者说
afyy 东南方
ag 七
aga 荆
agaf 莱芜
agaj 荆
agau 七五期间
agbj 莱阳
agd 匡
agdb 欧亚大陆
agdd 七大
agdj 七百
agdn 七万
age 莆
agee 七月
agef 菁
aget 巧用
agey 莆
agf 芋
agfg 七十
agfj 芋
agfy 苦不堪言
aggf 甚至于
aggg 七一
aggm 荆棘
aggo 划不来
agh 廿
aghg 廿
agho 蔫
agi 苤
agif 花天酒地
agig 苤
agj 蕙
agjm 巧遇
agjn 蕙
agjs 苹果
agk 蔌
agkw 蔌
aglf 共青团
aglk 共青团员
agll 莆田
aglm 共青团中央
agm 芾
agmh 芾
agmm 颟
agn 七
agnk 戈壁
agnm 七届
agnn 巧
agnt 戈
agny 弋
ago 莱
agou 莱
agpt 落到实处
agpy 葬礼
agq 葬
agqa 葬
agqg 薤
ags 茉
agsk 切不可
agsu 茉
agta 董事长
agtd 惹事生非
agtf 七千
agth 匡算
agtm 葬身
agu 苹
agub 药到病除
agud 葬送
aguh 苹
aguw 荚
aguy 荆门
agv 萋
agvi 巧妙
agvv 萋
agwf 董事会
agwg 巧合
agwn 七亿
agwy 戒严令
agx 荑
agxw 荑
agya 七五计划
agyd 某一方面
agyf 巧计
agyt 荆州
agyw 区政府
ah 牙
aha 蘧
ahaa 卧式
ahap 蘧
ahcm 雅观
ahdg 欺上压下
ahf 芷
ahf 苜
ahfa 某些地区
ahfg 世上无难事
ahfh 雅趣
ahft 基督教
ahgc 雅致
ahgo 邪恶
ahha 雅虎
ahhg 欺上瞒下
ahhw 牙齿
ahi 菽
ahic 菽
ahiw 雅兴
ahk 苫
ahk 熙
ahkf 苫
ahkg 雅号
ahkh 邪路
ahkm 颐
ahkm 赜
ahko 熙
ahlg 卧车
ahn 臣
ahnh 卧
ahnn 工具书
ahpv 雅安
ahqg 卧铺
ahrn 邪气
aht 牙
ahtb 邪
ahte 牙
ahtg 鸦
ahth 鸦片
ahtp 迓
ahty 雅
ahud 牙关
ahug 卧病
ahut 邪道
ahwg 卧倒
ahww 某些人
ahwy 邪念
ahx 茈
ahxb 茈
ahyd 某些方面
ahys 卧床
ahyu 邪说
ahyw 雅座
ai 东
aia 茳
aiaf 茳
aiai 茫茫
aiaj 落幕
aiap 东莞
aiaq 东欧
aias 蕖
aiaw 欧洲共同体
aiax 勤学苦练
aib 范
aibb 范
aibp 医学院
aidg 荣誉感
aidm 东面
aidn 落成
aie 菹
aiea 薄膜
aief 落脚
aieg 菹
aifb 落地
aifd 东城
aiff 落款
aifm 东南
aifu 蒙混过关
aig 薄
aigf 薄
aigh 萍
aigo 东亚
aigy 蒲
aih 菠
aihc 菠
aii 东
aiic 菏泽
aiii 落水
aiir 落泊
aiit 莎
aiiu 荡漾
aije 东盟
aijj 落日
aiju 节省时间
aik 藻
aikf 落叶
aiks 藻
aikt 东川
ailb 划清界限
aild 范畴
ailf 范围
ailp 东边
aimm 东山
aimq 落网
ain 荡
ainr 荡
ainu 荧光屏
aipe 东家
aipu 落实
aipw 落空
aiq 鸫
aiqd 茫然
aiqg 鸫
air 蒎
aire 蒎
airg 落后
ais 菏
aisg 东西
aisk 菏
aisr 薄板
ait 落
aitf 落选
aitj 薄利
aitk 落
aitl 藩
aity 落入
aiu 汞
aiud 落差
aiug 艾滋病
aiuh 东站
aiuk 东部
aiuq 荣誉奖
aiux 东北
aiuy 东门
aiwg 范例
aiwg 落伍
aiwm 东侧
aixc 东经
aixt 萍乡
aixu 薄弱
aixw 欧洲经济共同体
aiy 茫
aiye 蒗
aiyg 斯洛文尼亚
aiyi 东京
aiyn 落户
aiyw 落座
aiyy 东方
aj 划
ajaa 萌芽
ajag 墓葬
ajaj 若明若暗
ajax 草药
ajb 蕞
ajbc 蕞
ajbm 划出
ajd 募
ajdc 蓦
ajdd 莫大
ajdf 墓
ajdh 幕
ajdj 暮
ajdl 募
ajdm 幕布
ajdn 慕
ajdr 摹
ajdr 草原
ajdr 墓碑
ajdu 莫
aje 萌
ajef 萌
ajf 昔
ajfb 草地
ajfc 萌动
ajfg 草坪
ajfn 草场
ajfu 莳
ajgd 蓝天
ajgi 莫不
ajh 划
ajhk 攻坚战
ajig 划清
ajj 草
ajjf 菖
ajjj 昔日
ajjv 划归
ajl 蔓
ajlc 蔓
ajlp 东盟国家
ajlt 草图
ajnt 萌发
ajpg 划定
ajpv 草案
ajq 葛
ajqc 蓝色
ajqg 鹊
ajqk 慕名
ajqn 葛
ajrg 幕后
ajrk 募捐
ajrn 草拟
ajrn 摹拟
ajrn 划拨
ajsg 蓝本
ajss 草木
ajt 蓝
ajte 划船
ajtg 萌生
ajth 蔓延
ajtl 蓝
ajtw 草签
ajty 草稿
aju 茧
ajud 划拳
ajuh 斯里兰卡
ajv 郾
ajvb 郾
ajvk 莫如
ajwa 划时代
ajwd 幕僚
ajwv 划分
ajwy 募集
ajwy 摹仿
ajyl 划为
ajyx 草率
ak 或
akad 勤苦
akap 勤劳
akb 葺
akbf 葺
akbt 蕺
akct 区别对待
akcw 共患难
akd 叵
akdl 勤奋
akft 或者
akg 或
akgb 鄞
akgd 或
akgf 堇
akgh 勤政
akgl 勤
akgn 惑
akgq 觐
akgu 区别不同情况
akh 匮
akhm 匮
akhm 蒉
akih 甚嚣尘上
akin 苦口婆心
akip 勤学
akjg 或是
akk 颧
akkf 莒
akkg 鹳
akkm 颧
akkn 萼
aklq 区别轻重缓急
akm 莴
akmj 或则
akmw 莴
aknn 勤快
akpg 其中之一
akqk 勤勉
aksp 切中要害
aktl 勤务
aktp 匮乏
akve 勤恳
akww 勤俭
akyt 或许
al 功
alah 功臣
alal 世界范围
alap 功劳
alaq 苏区
alas 苦思苦想
alat 基因工程
alaw 苏共
albu 苏联
albx 世界卫生组织
alce 功能
alcm 世界观
ald 茵
aldh 世界大战
aldk 世界历史
aldl 世界大国
aldn 蒽
aldp 世界大赛
aldt 蔑
aldu 茵
alf 苗
alfj 薯
alfw 功夫
alfy 劳累过度
algr 世界形势
alhh 萝卜
alig 世界水平
alii 世界潮流
aljr 世界日报
alk 匣
alkf 茄
alkf 茴
alkm 功勋
all 荔
allg 苗圃
alll 荔
allt 功力
almw 范围内
almy 苏丹
aln 功
alnd 欺软怕硬
alni 世界屋脊
alnt 世界性
alnu 葸
alp 莲
alph 瞢
alpl 苏军
alpn 甍
alpp 世界冠军
alpu 莲
alpx 薨
alpy 蔑视
alq 萝
alqg 鹋
alqp 世界锦标赛
alqt 世界银行
alqu 萝
alrc 世界舞台
alsf 荔枝
alsg 苏醒
alsp 世界杯赛
alss 苗木
alt 菌
altf 功德
altg 世界和平
altl 世界各国
alts 苗条
altu 菌
alud 苗头
alug 苏美
aluq 功效
alv 匦
alvv 匦
alw 苏
alwn 世界人民
alwu 苏
alww 世界领先地位
alxg 功绩
alxi 世界经济
alxv 世界纪录
alyf 世界市场
alyg 世界语
alyj 功课
alyq 功底
alyt 苏州
alyx 功率
alyy 苏方
am 贡
amc 芟
amce 英勇
amcu 芟
amd 英
amdc 英雄
amdg 黄石
amdp 共同研究
amdu 英
amdx 恐龙
amdy 共同愿望
ameg 巩县
amf 苒
amfc 英魂
amff 苒
amfg 英寸
amfj 共同声明
amfm 贡献
amft 英才
amg 茼
amga 英武
amgk 茼
amgq 英烈
amgs 共同理想
amh 匝
amhk 萜
amis 黄河
amit 黄海
amje 英明
amjf 英里
amk 苘
amkf 苘
amkg 恐吓
amld 巩固
amlg 英国
ammd 花岗岩
ammm 黄山
ammq 黄冈
amna 恐慌
amnd 恐怖
amnh 恐惧
amnr 恐怕
amny 英尺
ampd 共同完成
ampp 共同富裕
ampt 共同之处
amq 苋
amqa 黄昏
amqb 苋
amqc 黄色
amqk 英名
amqq 黄金
amqu 英镑
amrh 黄牛
amry 共同提高
amsa 英模
amso 英杰
amst 黄梅
amth 黄牌
amtw 共同条令
amu 贡
amup 黄帝
amuq 英姿
amvl 共同努力
amvo 英灵
amw 黄
amwc 英俊
amws 共同体
amwu 芮
amwx 英华
amxw 共同纲领
amy 巩
amyf 共同市场
amyg 英语
amyh 跫
amyj 蛩
amyn 恐
amyp 英豪
amyq 銎
amyy 英文
an 世
ana 苠
anab 苠
anae 蔬菜
anaf 巨著
anar 巨匠
anaw 基层工作
anb 艺
anb 芑
ancn 翘尾巴
and 巨
andd 巨大
andg 恐惧感
andm 世面
andt 世故
andy 世态
anf 蔚
anff 蔚
anfu 基层干部
anga 巨型
angk 世事
angs 基层政权
angw 恐怖事件
anh 蔬
anhc 葭
anhh 世上
anhq 蔬
ani 忒
anif 恐怖活动
ank 薜
anki 甘居中游
anku 薜
anlw 世界
anm 贳
anmh 巨幅
anmu 贳
ann 蕊
annd 甘心情愿
anng 恐惧心理
annn 蕊
anpe 世家
anpt 巨额
anpy 基层社
anqd 蔚然
anqh 匠心独具
ansy 艺术
antf 恐怖行动
anth 芯片
anu 芯
anud 荬
anuj 世间
anuq 巨资
anuw 基层单位
anuy 著书立说
anv 世
anvy 基层建设
anw 蓼
anwa 世代
anwe 蓼
anwm 劳民伤财
anww 巨人
anxa 苦心经营
anxn 世纪
anxx 基层组织
any 苡
anyo 巨变
anyu 荩
anyw 苡
anyy 恐怖主义
aoad 工业基础
aoaf 工业基地
aoaq 工业区
aoaw 工业革命
aodn 工业布局
aods 工业厅
aofy 工业城市
aohx 工业战线
aoii 工业污染
aokk 工业品
aokm 营业员
aolg 工业国
aolp 工业国家
aolw 工业界
aonn 工业局
aoot 惹火烧身
aopt 营业额
aorj 营业执照
aorn 营业所
aotu 营业税
aouk 工业部
aouu 工业部门
aouw 工业产值
aov 蒌
aovf 蒌
aovt 薮
aowk 营业人员
aowo 工业企业
aowx 工业化
aoxi 工业经济
aoyi 工业废水
ap 芝
apaa 劳工
apad 劳苦
apaq 荣获
apau 蒙蔽
apbj 荥阳
apcc 营垒
apd 菪
apdf 荣辱
apdg 蒙古
aped 蒙胧
apep 蒙受
apfb 营地
apfc 劳动
apff 茔
apfi 营救
apfl 蔻
apfq 莞
apft 劳教
apfu 荣幸
apg 蒙
apgb 劳顿
apge 蒙
apgf 苎
apgg 萱
apgq 其实不然
apgt 落实政策
apgw 落实到人
apgy 莹
api 荥
apij 蒙混
apiq 荣耀
apiu 荥
apiw 荣誉
apj 萤
apjf 蒙昧
apju 萤
apjv 荣归
apk 营
apkk 营
apl 劳
aplb 劳
aplj 荤
aplk 劳驾
aplt 劳力
aplx 劳累
apmm 蒙山
apn 茕
apnf 茕
apnn 菅
apnt 劳改
apnu 荧屏
apo 荧
apog 营业
apok 工农业产品
apou 荧
apow 工农业总产值
apox 工农业生产第一线
appy 劳神
apq 莺
apqb 菀
apqf 蓥
apqg 莺
apr 荦
aprg 工农兵
aprh 荦
aps 荣
apsa 劳模
apso 黄鹤楼
apst 切实可行
apsu 荣
apta 营长
aptf 营造
aptg 营生
aptj 营利
aptl 劳务
apu 芝
apud 营养
apuk 工农差别
apuq 劳资
apuu 荣立
apvf 营建
apw 蓉
apwf 欧安会
apwj 蓿
apwk 蓉
apwt 荣任
apwx 荣华
apx 萦
apxi 萦
apyn 营房
apyw 荣膺
aq 区
aqa 芪
aqaa 警戒
aqab 芪
aqai 或多或少
aqaj 区划
aqaq 葡萄
aqav 莫名其妙
aqaw 菊花
aqb 苑
aqbb 苑
aqbc 获取
aqbg 警卫
aqbj 欧阳
aqde 葱郁
aqdg 慕名而来
aqdm 蔚然成风
aqeg 区县
aqep 敬爱
aqet 获胜
aqfa 区域
aqfd 荡然无存
aqfi 获救
aqfm 敬献
aqfp 其乐无穷
aqft 敬老
aqg 葡
aqgb 茚
aqgd 藓
aqgj 蓟
aqgn 瓯
aqgo 欧亚
aqgy 葡
aqi 区
aqip 警觉
aqiy 欧洲
aqj 荀
aqjf 荀
aqju 黄金时间
aqjw 黄金时代
aqk 敬
aqkf 苟
aqkf 茗
aqkl 区别
aqkn 营销中心
aqkr 擎
aqks 檠
aqkt 敬
aqky 警
aqky 菟
aqlg 敬畏
aqlt 警力
aqm 殴
aqmc 殴
aqmm 花名册
aqn 苞
aqnb 苞
aqnf 黄色书刊
aqnj 警惕
aqnt 区属
aqo 菊
aqou 菊
aqpn 警官
aqpw 警察
aqpy 敬礼
aqq 欧
aqqg 鸥
aqqk 警钟
aqqw 欧
aqr 萄
aqrb 警报
aqrm 萄
aqrn 葱
aqrq 蔸
aqrr 芴
aqrs 殴打
aqsc 著名权
aqsg 匹配
aqt 获
aqta 区长
aqtb 茆
aqtd 获
aqtf 警告
aqtj 获得
aqtl 警备
aqtm 警笛
aqtn 莸
aqto 荻
aqts 节外生枝
aqtv 区委
aqu 艾
aqug 欧美
aquj 敬意
aquq 获奖
aquw 获益
aqv 匹
aqvf 萏
aqvs 黄色录相
aqvx 欧姆
aqw 芡
aqwf 基金会
aqwm 敬佩
aqwq 敬仰
aqwu 区位
aqwv 区分
aqwy 匿名信
aqxw 劳逸结合
aqxx 基金组织
aqy 芍
aqyf 黄金市场
aqyg 鸢
aqyg 茑
aqyu 芍
aqyy 警方
ar 匠
arc 葩
arcb 葩
ard 菝
ardc 菝
arfa 落后地区
argm 甘拜下风
ari 茱
ariu 茱
arj 芹
ark 匠
arny 匠心
arsr 东拉西扯
art 萆
artf 萆
arty 节制生育
arus 节制资本
arwe 七手八脚
arwk 医护人员
arwr 七折八扣
arwu 七拼八凑
as 苛
asab 艺术节
asal 基本功
asar 莺歌燕舞
asau 基本工资
ascr 基本矛盾
asdg 基本原理
asdj 艺术大师
asdm 基本原则
asf 茜
asfi 苛求
asft 基本规律
asg 苯
asga 艺术形式
asgf 苯
asgi 艺术表演
asgo 蘸
asgq 艺术形象
asgy 基本理论
ash 葙
ashf 葙
ashh 基本上
ashk 基本点
asif 基本法
asig 艺术水平
asiu 花样滑冰
asj 蕈
asjj 蕈
ask 苛
askf 苛
askk 艺术品
askx 基本路线
aslf 艺术团
asls 基本思想
aslt 基本国策
asmp 基本内容
asms 艺术风格
asns 苍松翠柏
asnt 艺术性
asnu 基本情况
aspd 基本完成
aspe 艺术家
aspx 荷枪实弹
asqf 草桥镇
asqu 基本解决
asr 菥
asrj 菥
assa 划框框
assf 基本要求
asst 基本权利
astu 花样翻新
astw 基本条件
asty 基本知识
asuj 基本问题
asvu 基本建设投资
asvy 基本建设
asw 菘
aswc 菘
aswk 艺术作品
aswt 基本任务
asww 艺术价值
asxw 基本纲领
asyn 苛刻
asyq 基本方针
asyy 东西方
at 攻
ata 苌
ataf 医务工作者
atag 蓬莱
atah 工程项目
ataq 警备区
atat 黄牌警告
atax 医药
atay 苌
atbb 菜篮子
atbp 医院
atd 医
atdd 医大
atdh 攻破
atdi 医
atdj 荞
atdn 翳
atdp 蓬
atdq 攻克
ate 莠
ateb 莠
atet 医用
atf 芊
atfg 医士
atfh 荇
atfj 芊
atfm 攻击
atfp 蓬勃
atfp 莛
atft 获得者
atfy 欺行霸市
atg 董
atgf 董
atgk 董事
atgn 翘
atgo 薰
atgq 尧
ath 蓰
athh 蓰
athk 攻占
atic 医治
atim 落入法网
atip 医学
atj 莉
atjc 攻坚
atjg 医师
atjj 莉
atkg 划等号
atkm 勤务员
atl 蓖
atlb 劳务输出
atlf 颐和园
atlg 共和国
atlx 蓖
atm 薇
atmq 英特网
atmt 薇
atnu 鞠躬尽瘁
ato 蕃
atol 蕃
atpg 医务室
atpr 菲律宾
atq 藜
atqh 蘅
atqi 藜
atqq 薄利多销
atr 莪
atrg 工程兵
atrk 工程技术人员
atrt 莪
atru 营私舞弊
atrv 攻势
atry 医护
atsg 戒备森严
atsw 蓬松
atsy 医术
attd 蓬乱
attf 医德
attg 医生
atth 工程处
attl 医务
attu 切身利益
atty 攻入
atub 医疗
atud 攻关
atuo 工程塑料
atut 翘首
atuy 某种意义
atv 萎
atvf 萎
atwk 医务人员
atwn 工程公司
atww 黄种人
atx 莓
atxi 蘩
atxj 劳务费
atxp 萎缩
atxu 莓
aty 攻
atyf 攻读
au 燕
auab 菩萨
auah 攻关项目
auai 获益匪浅
aub 蒴
aubb 燕子
aube 蒴
aubt 医疗卫生
aubu 工商联
aubw 医疗队
aucr 革新能手
aucy 劳资双方
audi 东北三省
audm 基准面
audt 茁壮成长
aufa 东北地区
auft 获奖者
augd 医疗事故
augf 东半球
augk 苦差事
augu 邪门歪道
augy 营养不良
auig 工资水平
auii 薪水
auik 共产党员
auip 共产党
auiw 共产党人
auj 莘
aujn 薏
aujr 蕲
auk 菩
aukf 菩
auko 燕
aulf 工商界人士
aulg 东道国
aulw 工商界
aum 蔽
aumm 燕山
aumt 蔽
auna 工资改革
aunn 工商局
aunt 翘首以待
auog 工商业
aup 蒂
auph 蒂
aupy 蒡
auq 蒋
auqe 东北角
auqf 蒋
auqh 巧立名目
auqq 薪金
auqt 工商银行
auqu 茭
auqw 茨
aurm 工资制
aurn 工商所
aury 工资制度
aus 薪
ausr 薪
aut 蒺
autd 蒺
autg 工商行政管理
autj 工资待遇
autn 工商行政管理局
auuk 东北部
auup 工资总额
auv 蒹
auvo 蒹
auw 蔺
auwb 医疗保险
auwk 获奖作品
auwo 工商企业
auwy 蔺
auxk 工资级别
auyf 共产主义者
auyg 东道主
auyl 共产主义青年团
auyt 共产主义道德
auyy 共产主义
av 切
avaj 切莫
avay 若即若离
avb 艽
avbw 切除
avco 巧妇难为无米之炊
avd 菇
avdf 薅
avdu 切磋
ave 茛
aveu 茛
avf 荨
avfu 荨
avga 切开
avgg 萧瑟
avhw 切盼
avie 切削
avij 萧
avis 萧洒
avit 甘肃省
avjg 切题
avk 茹
avkf 苕
avmm 萧山
avn 切
avnn 切忌
avon 切断
avpd 切割
avpu 切实
avtm 切身
avts 萧条
avw 萸
avwg 切合
avwu 萸
avwv 切分
avwx 董建华
avy 芄
avyn 切记
avyu 芄
aw 共
awaf 蓓蕾
awai 苍茫
awaj 花草
awam 荏苒
awan 花蕊
awaq 恭敬
awaw 葵花
awax 勤俭节约
away 荟萃
awb 苍
awbb 苍
awbw 工作队
awbx 工人阶级
awc 蓊
awca 苍劲
awcl 工作能力
awcn 蓊
awd 茯
awda 欺人太甚
awde 共有
awdh 共存
awdk 革命历史
awdm 工作面
awdu 茯
aweb 工作服
awep 花腔
awet 共用
awf 蔡
awfa 花卉
awfc 荟
awfd 共需
awff 茌
awfi 蔡
awfj 共进
awfk 恭喜
awfs 工作需要
awft 苍老
awfu 苻
awg 葵
awgd 苍天
awgf 荃
awgi 莶
awgk 共事
awgo 革命事业
awgs 革命理想
awgt 蔹
awh 莜
awhh 工作上
awhq 革命战争
awht 莜
awhw 茶具
awih 惹人注目
awip 工人党
awir 革命派
awix 工作小组
awj 芥
awjg 工作量
awjj 节假日
awjr 工人日报
awju 工作时间
awk 葆
awkf 茶叶
awkk 巷口
awkq 共鸣
awks 葆
awlf 花园
awlh 花甲
awlk 恭贺
awlo 勤俭办一切事业
awlu 花圈
awmg 共同
awms 花朵
awmw 工作岗位
awn 巷
awnb 孽
awns 蘖
awnt 共性
awnu 恭
awnu 薛
awny 苍翠
awop 革命精神
awpb 切合实际
awpe 革命家
awpk 荣华富贵
awpw 苍穹
awpy 欺人之谈
awqc 花色
awqg 花钱
awqi 花销
awqn 茶馆
awqr 茶余饭后
awqt 花儿
awqy 花鸟
awrd 共振
awrp 勤俭持家
awrr 苍白
awrt 工作报告
awrv 花招
awry 工作制度
aws 茶
awsc 著作权
awsf 革命根据地
awsg 茶杯
awsk 荷
awss 花木
awsu 花样
awsw 世代相传
awt 荼
awtf 荏
awtg 花生
awth 共处
awti 革命生涯
awtj 花篮
awtk 共和
awtp 共管
awtu 荼
awtw 工作条件
awu 共
awuf 莅
awuh 工作站
awuk 蓓
awum 共商
